"clusterID","cluster","ids"
123,"ARAP3, ARHGEF6","64411, 9459"
124,"APOB, CD36","338, 948"
125,"ARAF, NELFCD, MAP2K1, NELFE","369, 51497, 5604, 7936"
126,"ADAMTSL3, KRTAP2-3","57188, 730755"
127,"GINS4, GINS1","84296, 9837"
128,"F11R, PARD3, JAM2, JAM3","50848, 56288, 58494, 83700"
129,"UBASH3A, KCNE1, CBS","53347, 3753, 875"
130,"PMP22, SMIM3","5376, 85027"
131,"CENPJ, STIL","55835, 6491"
132,"RGS2, NIPSNAP1","5997, 8508"
133,"SLC4A1, CA4","6521, 762"
